date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:18:19	31685/31685	---MCZ	200	added ('OK')	text/html	etag:%22497916d42cacd84b8b62baab497f9ec6-ssl-df%22	https://robbowen.digital/wrote-about/getting-started-with-go/	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/wrote-about/getting-started-with-go/index.html	(from https://robbowen.digital/writing/)
20:18:19	15262/15262	---MCZ	200	added ('OK')	text/html	etag:%2216d950faa3092077b13658f740d71bf8-ssl-df%22	https://robbowen.digital/wrote-about/hindsight-is-2020/	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/wrote-about/hindsight-is-2020/index.html	(from https://robbowen.digital/writing/)
20:18:19	39550/39550	---MCZ	200	added ('OK')	text/html	etag:%2244f3e0142b393fbcd93580425b2fffe5-ssl-df%22	https://robbowen.digital/wrote-about/minding-your-language/	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/wrote-about/minding-your-language/index.html	(from https://robbowen.digital/writing/)
20:18:20	48735/48735	---M-Z	200	added ('OK')	text/html	etag:%22c8a37631b9d423409e66022db3cc50d7-ssl-df%22	https://robbowen.digital/wrote-about/how-to-name-your-web-agency-with-nlp/	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/wrote-about/how-to-name-your-web-agency-with-nlp/index.html	(from https://robbowen.digital/writing/)
20:18:20	12815/12815	---MCZ	200	added ('OK')	text/html	etag:%22cc10871ac60c7c214b04f599b2f12335-ssl-df%22	https://robbowen.digital/wrote-about/neon-dreams/	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/wrote-about/neon-dreams/index.html	(from https://robbowen.digital/writing/)
20:18:20	13201/13201	---MCZ	200	added ('OK')	text/html	etag:%2299fc1347bcce8de98e7d3552e35d92d7-ssl-df%22	https://robbowen.digital/wrote-about/synthwave-84/	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/wrote-about/synthwave-84/index.html	(from https://robbowen.digital/writing/)
20:18:20	19127/19127	---MCZ	200	added ('OK')	text/html	etag:%22d8cae5ce286e936d75a5db4c963e5719-ssl-df%22	https://robbowen.digital/wrote-about/launch-day/	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/wrote-about/launch-day/index.html	(from https://robbowen.digital/writing/)
20:18:21	86828/86828	---M--	200	added ('OK')	image/png	etag:%2217a6b9e090185270c3e55f47b04a0bc1-ssl%22	https://robbowen.digital/assets/img/cards/getting-something-from-nothing.png	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/cards/getting-something-from-nothing.png	(from https://robbowen.digital/wrote-about/getting-something-from-nothing/)
20:18:22	253667/253667	---M--	200	added ('OK')	image/jpeg	etag:%22d506d28e215787609ab2c31e1e744376-ssl%22	https://robbowen.digital/assets/img/articles/nothing-phone-4.jpg	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/nothing-phone-4.jpg	(from https://robbowen.digital/wrote-about/getting-something-from-nothing/)
20:18:24	367707/367707	---M--	200	added ('OK')	image/jpeg	etag:%225a836460b2a60ed10b92a5d96a3fca1e-ssl%22	https://robbowen.digital/assets/img/articles/nothing-phone-1.jpg	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/nothing-phone-1.jpg	(from https://robbowen.digital/wrote-about/getting-something-from-nothing/)
20:18:25	359248/359248	---M--	200	added ('OK')	image/jpeg	etag:%220b5b292506012711214905b296abca27-ssl%22	https://robbowen.digital/assets/img/articles/nothing-phone-2.jpg	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/nothing-phone-2.jpg	(from https://robbowen.digital/wrote-about/getting-something-from-nothing/)
20:18:25	146555/146555	---M--	200	added ('OK')	image/jpeg	etag:%229a375a8b263e38bf6c193d1fc65a7dee-ssl%22	https://robbowen.digital/assets/img/articles/nothing-phone-3.jpg	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/nothing-phone-3.jpg	(from https://robbowen.digital/wrote-about/getting-something-from-nothing/)
20:18:26	115445/115445	---M--	200	added ('OK')	image/png	etag:%22fcd166cfa7e0707534576f86625c87d2-ssl%22	https://robbowen.digital/assets/img/cards/abandoned-side-projects.png	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/cards/abandoned-side-projects.png	(from https://robbowen.digital/wrote-about/abandoned-side-projects/)
20:18:27	538893/538893	---M--	200	added ('OK')	image/png	etag:%2284fb83b1d2e3e6e7c3a7a9bc5e1494bb-ssl%22	https://robbowen.digital/assets/img/articles/lietvards-code.png	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/lietvards-code.png	(from https://robbowen.digital/wrote-about/abandoned-side-projects/)
20:18:27	74926/74926	---M--	200	added ('OK')	image/png	etag:%22b8cd595f8bd2d5937332b469064a0dbe-ssl%22	https://robbowen.digital/assets/img/articles/lietvards.png	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/lietvards.png	(from https://robbowen.digital/wrote-about/abandoned-side-projects/)
20:18:29	101418/101418	---M--	200	added ('OK')	image/png	etag:%223de27e2c9d49e038dd87470424b77ca1-ssl%22	https://robbowen.digital/assets/img/cards/2023-wrapped.png	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/cards/2023-wrapped.png	(from https://robbowen.digital/wrote-about/2023-wrapped/)
20:18:30	320091/320091	---M--	200	added ('OK')	image/jpeg	etag:%22cc455b2906b0a662bb2c96f333ad5435-ssl%22	https://robbowen.digital/assets/img/articles/dziesmusvetki.jpg	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/dziesmusvetki.jpg	(from https://robbowen.digital/wrote-about/2023-wrapped/)
20:18:31	107099/107099	---M--	200	added ('OK')	image/png	etag:%223c814cd58f7c71505de2871c7ec15592-ssl%22	https://robbowen.digital/assets/img/cards/locking-scroll-with-has.png	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/cards/locking-scroll-with-has.png	(from https://robbowen.digital/wrote-about/locking-scroll-with-has/)
20:18:31	9601/9601	---MCZ	200	added ('OK')	text/html	etag:%222ad474ba28976b27ea512b6c9e65489b-ssl-df%22	https://robbowen.digital/wrote-about/html-is-like-a-camera/	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/wrote-about/HTML-is-like-a-camera/index.html	(from https://robbowen.digital/writing/)
20:18:32	96703/96703	---M--	200	added ('OK')	image/png	etag:%22cacd803d94a237618c2e2f41965a1f40-ssl%22	https://robbowen.digital/assets/img/cards/legacy-code.png	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/cards/legacy-code.png	(from https://robbowen.digital/wrote-about/legacy-code/)
20:18:33	66543/66543	---M--	200	added ('OK')	image/png	etag:%22c24590004a4a9457e76381f9bf4cdd95-ssl%22	https://robbowen.digital/assets/img/articles/cant-be-reached.png	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/cant-be-reached.png	(from https://robbowen.digital/wrote-about/legacy-code/)
20:18:34	86839/86839	---M--	200	added ('OK')	image/png	etag:%220a64b27fbd779a344315bbdeccfc116e-ssl%22	https://robbowen.digital/assets/img/cards/hand-thrown-frontends.png	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/cards/hand-thrown-frontends.png	(from https://robbowen.digital/wrote-about/hand-thrown-frontends/)
20:18:36	97238/97238	---M--	200	added ('OK')	image/png	etag:%227c56b568d95ec606fd69b5e2b0db09a9-ssl%22	https://robbowen.digital/assets/img/cards/so-long-2022.png	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/cards/so-long-2022.png	(from https://robbowen.digital/wrote-about/so-long-2022/)
20:18:36	5770/5770	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%2216d950faa3092077b13658f740d71bf8-ssl-df%22	https://robbowen.digital/wrote-about/hindsight-is-2020	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/wrote-about/hindsight-is-2020.25.delayed	(from https://robbowen.digital/wrote-about/so-long-2022/)
20:18:38	96956/96956	---M--	200	added ('OK')	image/png	etag:%22865debbec3228160a67a96bd36d3cf02-ssl%22	https://robbowen.digital/assets/img/cards/the-jammies-2022.png	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/cards/the-jammies-2022.png	(from https://robbowen.digital/wrote-about/the-jammies-2022/)
20:18:40	487919/487919	---M--	200	added ('OK')	image/gif	etag:%2201c9b748b76ec2fef769ca8443671697-ssl%22	https://robbowen.digital/assets/img/articles/clap.gif	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/clap.gif	(from https://robbowen.digital/wrote-about/the-jammies-2022/)
20:18:41	103868/103868	---M--	200	added ('OK')	image/png	etag:%2249b5f8c7de163bf9eaca028a28cb5d6a-ssl%22	https://robbowen.digital/assets/img/cards/css-blend-mode-shaders.png	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/cards/css-blend-mode-shaders.png	(from https://robbowen.digital/wrote-about/css-blend-mode-shaders/)
20:18:42	65796/65796	---M--	200	added ('OK')	image/jpeg	etag:%226dda807bb31ea120e64ea76653ec7993-ssl%22	https://robbowen.digital/assets/img/articles/holo/tower_spec.jpg	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/holo/tower_spec.jpg	(from https://robbowen.digital/wrote-about/css-blend-mode-shaders/)
20:18:43	141621/141621	---M--	200	added ('OK')	image/png	etag:%22f4e94288a296ff9613940e2ef3623b39-ssl%22	https://robbowen.digital/assets/img/articles/holo/hologram.png	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/holo/hologram.png	(from https://robbowen.digital/wrote-about/css-blend-mode-shaders/)
20:18:44	14807/14807	---M--	200	added ('OK')	image/jpeg	etag:%22444e6b3c2359edca16977ecc2a394749-ssl%22	https://robbowen.digital/assets/img/articles/holo/pinelake_mask.jpg	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/holo/pinelake_mask.jpg	(from https://robbowen.digital/wrote-about/css-blend-mode-shaders/)
20:18:45	21277/21277	---M--	200	added ('OK')	image/jpeg	etag:%229d57f55773210be8ec93b4940c1261e1-ssl%22	https://robbowen.digital/assets/img/articles/holo/forest_spec.jpg	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/holo/forest_spec.jpg	(from https://robbowen.digital/wrote-about/css-blend-mode-shaders/)
20:18:47	65491/65491	---M--	200	added ('OK')	image/jpeg	etag:%225ca821e157898ed2c76c3623a9867003-ssl%22	https://robbowen.digital/assets/img/articles/holo/tower.jpg	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/holo/tower.jpg	(from https://robbowen.digital/wrote-about/css-blend-mode-shaders/)
20:18:48	10018/10018	---M--	200	added ('OK')	image/jpeg	etag:%2246da0de49d3fbc9d56d4b9465dbaa1c0-ssl%22	https://robbowen.digital/assets/img/articles/holo/mask-layer.jpg	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/holo/mask-layer.jpg	(from https://robbowen.digital/wrote-about/css-blend-mode-shaders/)
20:18:49	62372/62372	---M--	200	added ('OK')	image/jpeg	etag:%225d0070314f036184f511707640b54b8e-ssl%22	https://robbowen.digital/assets/img/articles/holo/composite-diagram.jpg	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/holo/composite-diagram.jpg	(from https://robbowen.digital/wrote-about/css-blend-mode-shaders/)
